Derrrota registrada em: 2025-06-15 12:35:43 | Pontos: 53
Derrrota registrada em: 2025-06-15 12:38:06 | Pontos: 144
Derrrota registrada em: 2025-06-15 12:39:32 | Pontos: 21
Derrrota registrada em: 2025-06-15 12:40:52 | Pontos: 11
Derrrota registrada em: 2025-06-15 12:42:21 | Pontos: 167
Derrrota registrada em: 2025-06-15 13:22:09 | Pontos: 0
Derrrota registrada em: 2025-06-15 13:35:38 | Pontos: 2
Derrrota registrada em: 2025-06-15 13:37:14 | Pontos: 0
Derrrota registrada em: 2025-06-15 13:47:52 | Pontos: 0
Derrrota registrada em: 2025-06-15 13:49:43 | Pontos: 19
Derrrota registrada em: 2025-06-15 14:05:23 | Pontos: 0
Derrrota registrada em: 2025-06-15 14:09:53 | Pontos: 0
Derrrota registrada em: 2025-06-15 14:14:36 | Pontos: 1
Derrrota registrada em: 2025-06-15 14:16:28 | Pontos: 1
Derrrota registrada em: 2025-06-15 14:23:01 | Pontos: 0
Derrrota registrada em: 2025-06-15 14:24:09 | Pontos: 1
Derrrota registrada em: 2025-06-15 14:28:52 | Pontos: 15
Derrrota registrada em: 2025-06-15 14:30:36 | Pontos: 2
Derrrota registrada em: 2025-06-15 14:39:16 | Pontos: 26
Derrrota registrada em: 2025-06-15 14:40:38 | Pontos: 15
Derrrota registrada em: 2025-06-15 14:41:46 | Pontos: 23
